source_url,source_status,target_url,target_status,hops,reason,internal_links_updated,sitemap_updated,owner,status,normalized_path,purpose,decision_state,review_required,loss_risk,evidence_date,source_evidence,gsc_metrics,backlink_metrics
https://dentix.ua/robots.txt,200,https://dentix.ua/robots.txt,RECHECK_AT_CUTOVER,NOT_APPLICABLE,Preserve robots endpoint; current WP rules must be replaced only at separately authorized cutover.,False,False,DENTIX owner / hosting owner; named assignee pending,KEEP,/robots.txt,control,RECOMMENDED_PLANNING_ONLY,hosting owner,Unmeasured legacy access/link loss,2026-09-12,crawl-report.csv exact URL; external public-evidence/crawl.json or media-http.json,ACCESS_BLOCKED,UNKNOWN
https://dentix.ua/,200,https://dentix.ua/,NOT_IMPLEMENTED,NOT_APPLICABLE,"Existing commercial page; preserve exact URL, intent and incoming navigation; refreshed Ukrainian copy requires evidence.",False,False,DENTIX owner / hosting owner; named assignee pending,REBUILD_SAME_URL,/,content,RECOMMENDED_PLANNING_ONLY,client + qualified dental reviewer,Loss of existing service/brand landing page and unknown search/link signals,2026-09-12,crawl-report.csv exact URL; external public-evidence/crawl.json or media-http.json,ACCESS_BLOCKED,UNKNOWN
https://dentix.ua/wp-sitemap.xml,200,https://dentix.ua/sitemap.xml,NOT_IMPLEMENTED,planned 1,"Legacy XML discovery endpoint maps to replacement sitemap, after new sitemap is 200 and includes only approved canonical URLs.",False,False,DENTIX owner / hosting owner; named assignee pending,301,/wp-sitemap.xml,control,RECOMMENDED_PLANNING_ONLY,hosting owner,Unmeasured legacy access/link loss,2026-09-12,crawl-report.csv exact URL; external public-evidence/crawl.json or media-http.json,ACCESS_BLOCKED,UNKNOWN
https://dentix.ua/sitemap.xml,302,https://dentix.ua/sitemap.xml,RECHECK_AT_CUTOVER,NOT_APPLICABLE,Preserve discovery endpoint; future production robots/sitemap contents must match approved routes. Existing sitemap.xml currently 302 to WP index.,False,False,DENTIX owner / hosting owner; named assignee pending,KEEP,/sitemap.xml,control,RECOMMENDED_PLANNING_ONLY,hosting owner,Unmeasured legacy access/link loss,2026-09-12,crawl-report.csv exact URL; external public-evidence/crawl.json or media-http.json,ACCESS_BLOCKED,UNKNOWN
https://dentix.ua/sitemap_index.xml,404,,RECHECK_AT_CUTOVER,NOT_APPLICABLE,"Discovery probe is already genuine HTTP 404; preserve not-found behavior, not an indexable page.",False,False,DENTIX owner / hosting owner; named assignee pending,KEEP,/sitemap_index.xml,control,RECOMMENDED_PLANNING_ONLY,hosting owner,Unmeasured legacy access/link loss,2026-09-12,crawl-report.csv exact URL; external public-evidence/crawl.json or media-http.json,ACCESS_BLOCKED,UNKNOWN
https://dentix.ua/implantatsiya/,200,https://dentix.ua/implantatsiya/,NOT_IMPLEMENTED,NOT_APPLICABLE,"Existing commercial page; preserve exact URL, intent and incoming navigation; refreshed Ukrainian copy requires evidence.",False,False,DENTIX owner / hosting owner; named assignee pending,REBUILD_SAME_URL,/implantatsiya/,content,RECOMMENDED_PLANNING_ONLY,client + qualified dental reviewer,Loss of existing service/brand landing page and unknown search/link signals,2026-09-12,crawl-report.csv exact URL; external public-evidence/crawl.json or media-http.json,ACCESS_BLOCKED,UNKNOWN
https://dentix.ua/protezirovanie/,200,https://dentix.ua/protezirovanie/,NOT_IMPLEMENTED,NOT_APPLICABLE,"Existing commercial page; preserve exact URL, intent and incoming navigation; refreshed Ukrainian copy requires evidence.",False,False,DENTIX owner / hosting owner; named assignee pending,REBUILD_SAME_URL,/protezirovanie/,content,RECOMMENDED_PLANNING_ONLY,client + qualified dental reviewer,Loss of existing service/brand landing page and unknown search/link signals,2026-09-12,crawl-report.csv exact URL; external public-evidence/crawl.json or media-http.json,ACCESS_BLOCKED,UNKNOWN
https://dentix.ua/lechenie-pod-mikroskopom/,200,https://dentix.ua/lechenie-pod-mikroskopom/,NOT_IMPLEMENTED,NOT_APPLICABLE,"Existing commercial page; preserve exact URL, intent and incoming navigation; refreshed Ukrainian copy requires evidence.",False,False,DENTIX owner / hosting owner; named assignee pending,REBUILD_SAME_URL,/lechenie-pod-mikroskopom/,content,RECOMMENDED_PLANNING_ONLY,client + qualified dental reviewer,Loss of existing service/brand landing page and unknown search/link signals,2026-09-12,crawl-report.csv exact URL; external public-evidence/crawl.json or media-http.json,ACCESS_BLOCKED,UNKNOWN
https://dentix.ua/wp-sitemap-posts-post-1.xml,200,https://dentix.ua/sitemap.xml,NOT_IMPLEMENTED,planned 1,"Legacy XML discovery endpoint maps to replacement sitemap, after new sitemap is 200 and includes only approved canonical URLs.",False,False,DENTIX owner / hosting owner; named assignee pending,301,/wp-sitemap-posts-post-1.xml,control,RECOMMENDED_PLANNING_ONLY,hosting owner,Unmeasured legacy access/link loss,2026-09-12,crawl-report.csv exact URL; external public-evidence/crawl.json or media-http.json,ACCESS_BLOCKED,UNKNOWN
https://dentix.ua/wp-sitemap-posts-page-1.xml,200,https://dentix.ua/sitemap.xml,NOT_IMPLEMENTED,planned 1,"Legacy XML discovery endpoint maps to replacement sitemap, after new sitemap is 200 and includes only approved canonical URLs.",False,False,DENTIX owner / hosting owner; named assignee pending,301,/wp-sitemap-posts-page-1.xml,control,RECOMMENDED_PLANNING_ONLY,hosting owner,Unmeasured legacy access/link loss,2026-09-12,crawl-report.csv exact URL; external public-evidence/crawl.json or media-http.json,ACCESS_BLOCKED,UNKNOWN
https://dentix.ua/wp-sitemap-taxonomies-category-1.xml,200,https://dentix.ua/sitemap.xml,NOT_IMPLEMENTED,planned 1,"Legacy XML discovery endpoint maps to replacement sitemap, after new sitemap is 200 and includes only approved canonical URLs.",False,False,DENTIX owner / hosting owner; named assignee pending,301,/wp-sitemap-taxonomies-category-1.xml,control,RECOMMENDED_PLANNING_ONLY,hosting owner,Unmeasured legacy access/link loss,2026-09-12,crawl-report.csv exact URL; external public-evidence/crawl.json or media-http.json,ACCESS_BLOCKED,UNKNOWN
https://dentix.ua/wp-sitemap-users-1.xml,200,https://dentix.ua/sitemap.xml,NOT_IMPLEMENTED,planned 1,"Legacy XML discovery endpoint maps to replacement sitemap, after new sitemap is 200 and includes only approved canonical URLs.",False,False,DENTIX owner / hosting owner; named assignee pending,301,/wp-sitemap-users-1.xml,control,RECOMMENDED_PLANNING_ONLY,hosting owner,Unmeasured legacy access/link loss,2026-09-12,crawl-report.csv exact URL; external public-evidence/crawl.json or media-http.json,ACCESS_BLOCKED,UNKNOWN
https://dentix.ua/2021/04/08/privet-mir/,200,https://dentix.ua/2021/04/08/privet-mir/,NOT_IMPLEMENTED,NOT_APPLICABLE,Default-looking WordPress slug actually titled Comments; do not delete solely from slug. Owner must inspect comment export/provenance privately.,False,False,DENTIX owner / hosting owner; named assignee pending,HOLD_FOR_CONFIRMATION,/2021/04/08/privet-mir/,content,RECOMMENDED_PLANNING_ONLY,client,Unmeasured legacy access/link loss,2026-09-12,crawl-report.csv exact URL; external public-evidence/crawl.json or media-http.json,ACCESS_BLOCKED,UNKNOWN
https://dentix.ua/sayt-nahoditsya-na-tehnicheskom-obsluzh/,200,,NOT_IMPLEMENTED,NOT_APPLICABLE,Public obsolete maintenance placeholder; proposed retirement after owner confirms no remaining operational use and checks available links.,False,False,DENTIX owner / hosting owner; named assignee pending,410,/sayt-nahoditsya-na-tehnicheskom-obsluzh/,content,RECOMMENDED_PLANNING_ONLY,client,Unknown historical links; no organic-loss estimate,2026-09-12,crawl-report.csv exact URL; external public-evidence/crawl.json or media-http.json,ACCESS_BLOCKED,UNKNOWN
https://dentix.ua/otzyivyi/,200,https://dentix.ua/otzyivyi/,NOT_IMPLEMENTED,NOT_APPLICABLE,Public reviews shell; source does not establish full comment inventory or reuse consent. Keep URL decision on HOLD pending owner review; no invented reviews.,False,False,DENTIX owner / hosting owner; named assignee pending,HOLD_FOR_CONFIRMATION,/otzyivyi/,content,RECOMMENDED_PLANNING_ONLY,client,Unmeasured legacy access/link loss,2026-09-12,crawl-report.csv exact URL; external public-evidence/crawl.json or media-http.json,ACCESS_BLOCKED,UNKNOWN
https://dentix.ua/category/bez-rubriki/,200,https://dentix.ua/category/bez-rubriki/,NOT_IMPLEMENTED,NOT_APPLICABLE,Preserve until owner reviews purpose/provenance and GSC/link inventory. No traffic or backlink value inferred.,False,False,DENTIX owner / hosting owner; named assignee pending,HOLD_FOR_CONFIRMATION,/category/bez-rubriki/,content,RECOMMENDED_PLANNING_ONLY,client,Unmeasured legacy access/link loss,2026-09-12,crawl-report.csv exact URL; external public-evidence/crawl.json or media-http.json,ACCESS_BLOCKED,UNKNOWN
https://dentix.ua/author/newdentix/,200,https://dentix.ua/author/newdentix/,NOT_IMPLEMENTED,NOT_APPLICABLE,Preserve until owner reviews purpose/provenance and GSC/link inventory. No traffic or backlink value inferred.,False,False,DENTIX owner / hosting owner; named assignee pending,HOLD_FOR_CONFIRMATION,/author/newdentix/,content,RECOMMENDED_PLANNING_ONLY,client,Unmeasured legacy access/link loss,2026-09-12,crawl-report.csv exact URL; external public-evidence/crawl.json or media-http.json,ACCESS_BLOCKED,UNKNOWN
https://dentix.ua/2021/04/08/privet-mir/feed/,200,https://dentix.ua/2021/04/08/privet-mir/feed/,NOT_IMPLEMENTED,NOT_APPLICABLE,Discovered public RSS/comments feed; subscriptions and comment contents not assessed. Decide keep/export/410 only with owner review; never redirect feed to HTML homepage.,False,False,DENTIX owner / hosting owner; named assignee pending,HOLD_FOR_CONFIRMATION,/2021/04/08/privet-mir/feed/,feed,RECOMMENDED_PLANNING_ONLY,client,Unmeasured legacy access/link loss,2026-09-12,crawl-report.csv exact URL; external public-evidence/crawl.json or media-http.json,ACCESS_BLOCKED,UNKNOWN
